s,mean_a_qopt,mean_a_hot,mean_a_klopt,mean_a_best_fixed,mean_a_maxj,median_hot_defect_recovery,mean_gap_improvement_over_hot,median_gap_improvement_over_hot,fraction_hot_absent_q_near,fraction_q_kl_disjoint,mean_gap_qopt,mean_gap_hot,mean_gap_klopt,mean_gap_best_fixed
1,0.988484625628,0.96102176722,0.960142841169,0.980916279609,0.945495920359,0.715682940269,-0.187351443325,-0.142601750829,0.8,1,0.474363770281,0.287012326956,0.265514508862,0.348618225193
1.025,0.989817939546,0.96428359438,0.963258345515,0.982883984222,0.950061272977,0.723045680413,-0.169932862314,-0.128517233945,0.8,1,0.428515923655,0.258583061341,0.238961514268,0.314287178684
1.05,0.990988238671,0.967221912133,0.966075322984,0.984648365682,0.954193744677,0.728945493562,-0.153963049312,-0.115707224648,0.8,1,0.386748390738,0.232785341426,0.214912941772,0.283103175366
1.075,0.992016843626,0.969867843852,0.968620907109,0.986230627728,0.957931024455,0.731368292714,-0.139354893671,-0.104079346361,0.8,1,0.348767230502,0.209412336831,0.193162920164,0.254824589908
1.1,0.992922084412,0.972249674527,0.970919973369,0.987649697262,0.961308115324,0.733519462185,-0.126019581528,-0.0935432494196,0.8,1,0.314285660766,0.188266079238,0.173516400632,0.229218831084
1.125,0.993719743993,0.974393082936,0.975861752117,0.98892248694,0.964357417936,0.735430289267,-0.113868461352,-0.0840116788585,0.8,1,0.283027180066,0.169158718714,0.156797493198,0.206064164386
1.15,0.99442343453,0.976321360492,0.978703836688,0.990064123402,0.967108834284,0.737128314529,-0.10281449087,-0.0754012501993,0.8,1,0.254727817468,0.151913326598,0.141367230379,0.185150936814
1.175,0.995044916175,0.978055615841,0.980059114525,0.99108814628,0.969589885428,0.738637803402,-0.0927733267687,-0.0676329797406,0.6,1,0.229137652219,0.13636432545,0.126811870567,0.166282307869
1.2,0.995594367059,0.979614965008,0.981272886956,0.992006682346,0.971825838434,0.739980155231,-0.0836641147457,-0.060632612612,0.6,1,0.206021734063,0.122357619317,0.113716479655,0.149274581545
1.225,0.99608061196,0.981016707356,0.982359854906,0.992830598455,0.973839838626,0.741174258299,-0.0754100323322,-0.0543307876074,0.6,1,0.185160521448,0.109750489116,0.101942816243,0.133957223304
