instance_id,width,optimizer,success,first_success,minimum_gap,final_gap,gradient_evaluations,projection_displacement,initialization,seed
ct_w3_i1,3,adam,True,56,0.0930931918359636,0.0930931918359636,57,0.0,target_biased,0
ct_w3_i1,3,armijo_gd,False,-1,1.002879674094114,1.002879674094114,399,0.0,target_biased,0
ct_w3_i1,3,diagonal_fisher,False,-1,1.000000003454346,1.000000003454346,399,0.0,target_biased,0
ct_w3_i1,3,exact_natural,True,6,0.0410325342144162,0.0410325342144162,13,0.0,target_biased,0
ct_w3_i1,3,projected_adam,False,-1,2.7825508875849145,2.7825508875849145,200,0.0,target_biased,0
ct_w3_i1,3,ray_projected,False,-1,0.1180707278347341,0.1180707278347341,200,1.8138493987026847,target_biased,0
ct_w3_i1,3,target_direction,False,-1,0.269486169358057,0.269486169358057,200,0.0,target_biased,0
ct_w3_i1,3,adam,False,-1,1.0120413913966573,1.0120413913966573,200,0.0,target_biased,19
ct_w3_i1,3,armijo_gd,False,-1,1.0029789244764835,1.0029789244764835,399,0.0,target_biased,19
ct_w3_i1,3,diagonal_fisher,False,-1,1.0000000028093226,1.0000000028093226,399,0.0,target_biased,19
ct_w3_i1,3,exact_natural,True,6,0.050003420547215,0.050003420547215,13,0.0,target_biased,19
ct_w3_i1,3,projected_adam,False,-1,2.692915823440236,2.692915823440236,200,0.0,target_biased,19
ct_w3_i1,3,ray_projected,False,-1,0.134079872174528,0.134079872174528,200,1.911338361835576,target_biased,19
ct_w3_i1,3,target_direction,False,-1,0.3244381642145519,0.3244381642145519,200,0.0,target_biased,19
ct_w3_i1,3,adam,False,-1,1.010302496772583,1.010302496772583,200,0.0,target_biased,42
ct_w3_i1,3,armijo_gd,False,-1,1.003074081950471,1.003074081950471,399,0.0,target_biased,42
ct_w3_i1,3,diagonal_fisher,True,5,0.0062283738551336,0.0062283738551336,11,0.0,target_biased,42
ct_w3_i1,3,exact_natural,True,5,0.0989813289701579,0.0989813289701579,11,0.0,target_biased,42
ct_w3_i1,3,projected_adam,False,-1,2.0969444956239998,2.0969444956239998,200,0.0,target_biased,42
ct_w3_i1,3,ray_projected,False,-1,0.1320531235974975,0.1320531235974975,200,1.635164380075436,target_biased,42
ct_w3_i1,3,target_direction,False,-1,0.2485680670393577,0.2485680670393577,200,0.0,target_biased,42
ct_w3_i1,3,adam,False,-1,1.0118153458496175,1.0118153458496175,200,0.0,target_biased,50
ct_w3_i1,3,armijo_gd,False,-1,1.002743061719114,1.002743061719114,399,0.0,target_biased,50
ct_w3_i1,3,diagonal_fisher,False,-1,1.00000000288291,1.00000000288291,399,0.0,target_biased,50
ct_w3_i1,3,exact_natural,True,7,0.0613376141104478,0.0613376141104478,15,0.0,target_biased,50
ct_w3_i1,3,projected_adam,False,-1,2.4466433303461006,2.4466433303461006,200,0.0,target_biased,50
ct_w3_i1,3,ray_projected,False,-1,0.1188123185181488,0.1188123185181488,200,2.2465811447348827,target_biased,50
ct_w3_i1,3,target_direction,False,-1,0.6204515962066584,0.6204515962066584,200,0.0,target_biased,50
ct_w3_i1,3,adam,False,-1,1.010585710599507,1.010585710599507,200,0.0,target_biased,101
ct_w3_i1,3,armijo_gd,False,-1,1.0028831648748149,1.0028831648748149,399,0.0,target_biased,101
ct_w3_i1,3,diagonal_fisher,False,-1,1.000000002890376,1.000000002890376,399,0.0,target_biased,101
ct_w3_i1,3,exact_natural,True,7,0.0911292678909863,0.0911292678909863,15,0.0,target_biased,101
ct_w3_i1,3,projected_adam,False,-1,2.5294765472453022,2.5294765472453022,200,0.0,target_biased,101
ct_w3_i1,3,ray_projected,False,-1,0.1214140996651025,0.1214140996651025,200,2.3336326937441183,target_biased,101
ct_w3_i1,3,target_direction,False,-1,0.7687713060218808,0.7687713060218808,200,0.0,target_biased,101
ct_w3_i2,3,adam,True,31,0.0959217739050188,0.0959217739050188,32,0.0,target_biased,0
ct_w3_i2,3,armijo_gd,True,5,0.0823750996030252,0.0823750996030252,11,0.0,target_biased,0
ct_w3_i2,3,diagonal_fisher,True,2,0.0443459574616831,0.0443459574616831,5,0.0,target_biased,0
ct_w3_i2,3,exact_natural,True,5,0.0548935430780446,0.0548935430780446,11,0.0,target_biased,0
ct_w3_i2,3,projected_adam,False,-1,2.021164321667765,2.021164321667765,200,0.0,target_biased,0
ct_w3_i2,3,ray_projected,False,-1,0.1994199457590895,0.1994199457590895,200,1.9388069768159195,target_biased,0
ct_w3_i2,3,target_direction,False,-1,0.1456023645217321,0.1456023645217321,200,0.0,target_biased,0
ct_w3_i2,3,adam,False,-1,1.007329814727882,1.007329814727882,200,0.0,target_biased,19
ct_w3_i2,3,armijo_gd,False,-1,1.0026412972678234,1.0026412972678234,399,0.0,target_biased,19
