instance_id,instance_width,split,graph,seed,blocks,max_block_size,stored_entries,cosine_exact_natural,cosine_target,relative_error
ct_w3_i4,3,evaluation,chain,19,16,3,91,0.9697229580155675,-0.8504091003445508,0.25258649228507674
ct_w3_i4,3,evaluation,chain,42,16,3,91,0.9446574677153325,-0.8762118712830888,0.3443088020242964
ct_w3_i4,3,evaluation,chain,50,16,3,91,0.9299366725807673,-0.7697002882196263,0.37079556580460493
ct_w3_i4,3,evaluation,chain,101,16,3,91,0.955894695054438,-0.8336141033222473,0.30832093280381656
ct_w3_i4,3,evaluation,problem_tree,0,16,3,91,0.6797014891203782,0.4105803955655497,0.734527967148264
ct_w3_i4,3,evaluation,problem_tree,19,16,3,91,0.5072344015803636,0.28602976451382084,0.8712115302097748
ct_w3_i4,3,evaluation,problem_tree,42,16,3,91,0.4775616745270327,0.2823499399151119,0.8900529659927346
ct_w3_i4,3,evaluation,problem_tree,50,16,3,91,0.5632089043431109,0.3607277996337299,0.8270185111810565
ct_w3_i4,3,evaluation,problem_tree,101,16,3,91,0.6617705979614029,0.4962826700872062,0.7540027427298887
ct_w3_i4,3,evaluation,width2,0,16,6,274,0.6895332336145982,0.6618940515065319,0.7824072565734639
ct_w3_i4,3,evaluation,width2,19,16,6,274,0.6972458224747298,0.669844419283785,0.7792722703455822
ct_w3_i4,3,evaluation,width2,42,16,6,274,0.7230814244542709,0.6703631440068473,0.7497673173397181
ct_w3_i4,3,evaluation,width2,50,16,6,274,0.6793809863354252,0.6458357681928352,0.7809598522317189
ct_w3_i4,3,evaluation,width2,101,16,6,274,0.7373099078647808,0.7020036035077726,0.7498566364047485
ct_w3_i4,3,evaluation,width3,0,16,10,381,0.6889229004769064,0.6889229004768608,0.8075019935544352
ct_w3_i4,3,evaluation,width3,19,16,10,381,0.6895052163594617,0.6895052163596207,0.7873051499820624
ct_w3_i4,3,evaluation,width3,42,16,10,381,0.7070493432038825,0.7070493432037664,0.7848629703799885
ct_w3_i4,3,evaluation,width3,50,16,10,381,0.7207589739920849,0.7207589739920544,0.7941657794022611
ct_w3_i4,3,evaluation,width3,101,16,10,381,0.7787401252418602,0.7787401252418948,0.7735851832507876
ct_w3_i5,3,evaluation,chain,0,16,3,91,0.9653699889215382,-0.8055177696908011,0.2610300646897649
ct_w3_i5,3,evaluation,chain,19,16,3,91,0.9692183725356497,-0.8091895392224706,0.24921015156248513
ct_w3_i5,3,evaluation,chain,42,16,3,91,0.9487553435092464,-0.816534653672286,0.32846505787192115
ct_w3_i5,3,evaluation,chain,50,16,3,91,0.9309475168903865,-0.7989357494695637,0.36584588661409634
ct_w3_i5,3,evaluation,chain,101,16,3,91,0.9576415899995199,-0.7987162646896121,0.28829534939935375
ct_w3_i5,3,evaluation,problem_tree,0,16,3,91,0.5701870497748119,0.43097795766276253,0.8552890095313779
ct_w3_i5,3,evaluation,problem_tree,19,16,3,91,0.644720683532778,0.4624104230796398,0.7650517071634948
ct_w3_i5,3,evaluation,problem_tree,42,16,3,91,0.5045489866487666,0.314629329730417,0.9036100998886363
ct_w3_i5,3,evaluation,problem_tree,50,16,3,91,0.5295025024617593,0.29175326854461875,0.8902424807924001
ct_w3_i5,3,evaluation,problem_tree,101,16,3,91,0.7095604176666146,0.4837053135303747,0.7061259257633757
ct_w3_i5,3,evaluation,width2,0,16,6,244,0.7350087788484098,0.6635770369713321,0.719567673655615
ct_w3_i5,3,evaluation,width2,19,16,6,244,0.678488966110899,0.6459944571118402,0.7746617820347728
ct_w3_i5,3,evaluation,width2,42,16,6,244,0.7396179231030674,0.7157870061319974,0.7464390071736676
ct_w3_i5,3,evaluation,width2,50,16,6,244,0.6969278786326893,0.635612073049426,0.7661518597991753
ct_w3_i5,3,evaluation,width2,101,16,6,244,0.7216334910255118,0.6751398309739063,0.7480201539007759
ct_w3_i5,3,evaluation,width3,0,16,10,411,0.7315305017407476,0.7315305017406956,0.78009139634397
ct_w3_i5,3,evaluation,width3,19,16,10,411,0.7272947854383963,0.7272947854385379,0.7859485991660339
ct_w3_i5,3,evaluation,width3,42,16,10,411,0.7200249303621085,0.7200249303622714,0.7873174939628143
ct_w3_i5,3,evaluation,width3,50,16,10,411,0.7593425454404426,0.7593425454399699,0.7724071612168637
