instance_id,instance_width,graph,compiled_graph_width,edge_count,target_edge_count,pair_weight_fraction,target_norm_fraction,elimination_order,elimination_degrees,edges,energy_at_projected_target,cost_variance,explained_variance_fraction,projected_identity_relative_residual,exact_ng_projected_target_cosine,parameter_dimension
ct_w4_i1,4,problem_tree,1,15,15,0.5714285714285714,0.8714285714285714,3 7 4 8 9 1 10 11 5 6 13 2 14 0 12 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-8;0-12;0-14;1-9;1-12;2-6;2-10;2-13;2-15;3-8;4-7;4-10;5-6;5-11;12-15,-7.513096991726674,3.435801052955024,0.7003802302051938,0.9852098455367119,0.8671346550519314,31
ct_w4_i1,4,width2,2,27,27,0.8571428571428571,0.9571428571428572,11 1 3 7 4 9 5 10 13 14 8 0 2 6 12 15,1 2 2 2 2 2 2 2 2 2 2 2 2 2 1 0,0-8;0-12;0-14;0-15;1-9;1-12;2-6;2-10;2-13;2-15;3-8;3-15;4-7;4-10;4-15;5-6;5-9;5-11;5-12;6-12;7-10;8-14;8-15;9-12;10-15;12-15;13-15,-8.275165115547427,2.992752782266935,0.8061651092902503,0.8451795813522923,0.9866955632858964,43
ct_w4_i1,4,width3,3,32,32,0.9761904761904762,0.9928571428571429,3 11 14 8 0 1 4 12 9 7 6 10 2 5 13 15,2 2 2 2 2 3 3 3 3 3 3 3 3 2 1 0,0-8;0-12;0-14;0-15;1-9;1-12;1-15;2-6;2-10;2-13;2-15;3-8;3-15;4-7;4-10;4-15;5-6;5-7;5-9;5-11;5-12;5-13;6-10;7-9;7-10;8-14;8-15;9-12;10-15;11-13;12-15;13-15,-8.333903108871697,2.7805619252555838,0.9448800637890937,0.3782428390303185,0.9972542459667343,48
ct_w4_i1,4,full,4,33,33,1.0,1.0,3 14 8 0 1 4 6 7 9 10 12 2 11 5 13 15,2 2 2 2 3 3 4 4 4 4 3 3 2 2 1 0,0-8;0-12;0-14;0-15;1-9;1-12;1-15;2-6;2-10;2-13;2-15;3-8;3-15;4-7;4-10;4-15;5-6;5-7;5-9;5-11;5-12;5-13;6-10;6-12;7-9;7-10;8-14;8-15;9-12;10-15;11-13;12-15;13-15,-8.449482792654413,2.6856793034081115,1.0000000000003073,3.145033852319473e-13,1.0,49
ct_w4_i2,4,chain,1,15,5,0.125,0.7569444444444444,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15,-3.9933799333137014,3.5593799631970686,0.7235077848692117,1.893537311019156,-0.6354866557980619,31
ct_w4_i2,4,problem_tree,1,15,15,0.525,0.8680555555555556,2 4 5 7 8 10 11 12 13 3 6 14 1 9 0 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-6;0-7;0-8;0-9;0-10;0-11;0-12;0-15;1-9;1-14;2-7;3-6;3-13;4-9;5-6,-7.8799038349480135,2.6777402687227334,0.879845067381909,1.3292289912863486,0.7688893374034428,31
ct_w4_i2,4,width2,2,28,28,0.85,0.9583333333333334,1 2 4 5 7 8 11 10 13 14 9 15 0 3 6 12,2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 0,0-6;0-7;0-8;0-9;0-10;0-11;0-12;0-15;1-9;1-14;2-7;2-8;3-6;3-12;3-13;4-9;4-12;5-6;5-15;6-15;7-8;8-15;9-10;9-12;9-14;10-11;12-13;12-14,-7.967034405897008,2.8678204406190195,0.8243023663274125,0.7581912273930815,0.9876187049414336,44
ct_w4_i2,4,width3,3,32,32,0.95,0.9861111111111112,1 2 4 11 13 14 10 3 9 5 6 7 0 8 12 15,2 2 2 2 2 2 3 2 3 3 3 3 3 2 1 0,0-6;0-7;0-8;0-9;0-10;0-11;0-12;0-15;1-9;1-14;2-7;2-8;3-6;3-12;3-13;4-9;4-12;5-6;5-12;5-15;6-9;6-10;6-15;7-8;7-12;8-15;9-10;9-12;9-14;10-11;12-13;12-14,-7.973322993424266,2.66232282352153,0.8842829201102255,0.7093662803066173,0.9956341660930794,48
ct_w4_i2,4,full,4,34,34,1.0,1.0,2 13 3 7 8 11 10 0 1 4 14 5 6 9 12 15,2 2 3 3 3 2 4 4 2 2 3 4 3 2 1 0,0-6;0-7;0-8;0-9;0-10;0-11;0-12;0-15;1-9;1-14;2-7;2-8;3-6;3-10;3-12;3-13;4-9;4-12;5-6;5-12;5-14;5-15;6-9;6-10;6-15;7-8;7-12;8-15;9-10;9-12;9-14;10-11;12-13;12-14,-8.223864394038014,2.7038245172653212,1.0000000000006735,4.379332514250143e-13,1.0,50
ct_w4_i3,4,chain,1,15,5,0.13513513513513514,0.7333333333333333,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15,-4.065580066173311,3.4304594044619066,0.6940065002419376,1.7652605017114043,-0.4751460756757359,31
