instance_id,instance_width,split,graph,sample_budget,seed,method,parameter_dimension,success,first_success_step,minimum_gap,initial_gradient_rms,sample_batches,total_samples,first_direction_cosine_exact_ng,first_direction_cosine_projected_target,first_sample_rank,final_gap,final_pstar,final_dominant_probability,final_dominant_gap,final_dominant_hamming,final_dominant_local_min,final_gradient_rms,final_gradient_ratio,final_fisher_condition,final_fisher_rank,final_trap_candidate
ct_w5_i4,5,evaluation,width3,1024,0,independent_full_fisher,48,1,9.0,0.08100042993803136,0.2612066076802507,9,9216,0.6730348940856671,0.6772645315144603,47,0.08100042993803136,0.9306258610414736,0.9306258610414736,0.0,0,1,0.04574202782346158,0.1751181879727005,,-1,0
ct_w5_i4,5,evaluation,width3,1024,19,independent_full_fisher,48,0,,1.0000343805905203,0.23175850541696338,199,203776,0.7693877155791452,0.7513604057486442,48,1.0000343805905203,8.858055262948786e-14,0.8078695556752282,1.0,6,1,2.2064474753884884e-05,9.520459546538779e-05,,-1,0
ct_w5_i4,5,evaluation,width3,1024,42,independent_full_fisher,48,1,10.0,0.0326667250146393,0.17997390068888205,10,10240,0.903824505014409,0.8937669666057695,48,0.0326667250146393,0.9703088353693694,0.9703088353693694,0.0,0,1,0.026617495020149026,0.1478964167485721,,-1,0
ct_w5_i4,5,evaluation,width3,1024,50,independent_full_fisher,48,1,19.0,0.059262195125203476,0.21182371661140223,19,19456,0.8094038349253839,0.7902747836222499,47,0.059262195125203476,0.942312348709076,0.942312348709076,0.0,0,1,0.06984188623820849,0.32971702770344546,,-1,0
ct_w5_i4,5,evaluation,width3,1024,101,independent_full_fisher,48,1,12.0,0.08241913528379285,0.30413134576060497,12,12288,0.8321480365506461,0.8392302806373556,48,0.08241913528379285,0.9208830794529557,0.9208830794529557,0.0,0,1,0.06677360713867658,0.21955516282506768,,-1,0
ct_w5_i5,5,evaluation,problem_tree,256,0,independent_full_fisher,31,1,12.0,0.08531485577788622,0.3175527575161361,12,3072,0.5129518342622346,0.3587618750072468,30,0.08531485577788622,0.9160821033228697,0.9160821033228697,0.0,0,1,0.03644845054920896,0.11477919711453577,,-1,0
ct_w5_i5,5,evaluation,problem_tree,256,19,independent_full_fisher,31,1,12.0,0.06964288458428136,0.3853179386490582,12,3072,0.4932236933417495,0.27914525925151834,28,0.06964288458428136,0.9319610696091498,0.9319610696091498,0.0,0,1,0.030231882516043734,0.07845957710154387,,-1,0
ct_w5_i5,5,evaluation,problem_tree,256,42,independent_full_fisher,31,0,,1.000010808904383,0.3567284678144566,199,50944,0.29257324205205026,0.18456732316786237,28,1.000010808904383,5.524175277205964e-23,0.5036725423221867,1.0,7,1,3.1851130770096173e-06,8.928676470716305e-06,,-1,0
ct_w5_i5,5,evaluation,problem_tree,256,50,independent_full_fisher,31,1,13.0,0.08471225892887801,0.4141397554180411,13,3328,0.5368767223064866,0.47683830305290914,26,0.08471225892887801,0.9289748429896953,0.9289748429896953,0.0,0,1,0.028723664633436733,0.06935741922299268,,-1,0
ct_w5_i5,5,evaluation,problem_tree,256,101,independent_full_fisher,31,1,18.0,0.09758770558372021,0.35659906473426856,18,4608,0.5499501928057307,0.274625356684372,28,0.09758770558372021,0.9026889169415934,0.9026889169415934,0.0,0,1,0.06253947974213621,0.17537757646318997,,-1,0
ct_w5_i5,5,evaluation,width3,64,0,independent_full_fisher,46,0,,1.000232954275189,0.23189063489857858,199,12736,0.24019874268185878,0.21874646780069423,29,1.000232954275189,1.3478074252774845e-09,0.9988953959590925,1.0,3,1,0.00017258979463130136,0.0007442723795498965,898730768230.8932,39,1
ct_w5_i5,5,evaluation,width3,64,19,independent_full_fisher,46,0,,1.0002503672215273,0.17718802385374122,199,12736,0.28021626046875797,0.2787126895948375,27,1.0002503672215273,3.4579137306792456e-29,0.8548081100608146,1.0,9,1,0.00010630669888778279,0.0005999654862426426,,-1,0
ct_w5_i5,5,evaluation,width3,64,42,independent_full_fisher,46,0,,1.000019843925326,0.2934184246111206,199,12736,0.11327937995591131,0.11966650261471357,29,1.000019843925326,2.9427224799799942e-27,0.6723305740282806,1.0,8,1,6.463587689382011e-06,2.2028567899062462e-05,,-1,0
ct_w5_i5,5,evaluation,width3,64,50,independent_full_fisher,46,1,18.0,0.059871173849677106,0.1942516871492727,18,1152,0.2157655201935561,0.2615771845852358,28,0.059871173849677106,0.9632498865891838,0.9632498865891838,0.0,0,1,0.03614469806260499,0.18607147558430004,,-1,0
ct_w5_i5,5,evaluation,width3,64,101,independent_full_fisher,46,0,,1.0001239324320714,0.3359218777728264,199,12736,0.13974805190589687,0.13460437792894836,24,1.0001239324320714,2.392932004573362e-25,0.9998174196236493,1.0,6,1,4.503914189430803e-05,0.00013407623877586983,846223342532.1373,40,1
