instance_id,instance_width,split,graph,samples_per_batch,total_samples_per_update,seed,method,success,first_success_step,minimum_gap,sample_batches,total_samples,first_direction_cosine_exact_ng,first_sample_rank,final_gap,final_pstar,final_dominant_probability,final_gradient_ratio,final_trap_candidate
ct_w4_i3,4,evaluation,problem_tree,256,512,42,independent_equal_full_fisher,1,12.0,0.05425517956687642,12,6144,0.7256217904544046,30,0.05425517956687642,0.9489993345646478,0.9489993345646478,0.08076202415727442,0
ct_w4_i3,4,evaluation,problem_tree,256,512,50,independent_equal_full_fisher,1,12.0,0.09063823969729512,12,6144,0.4852130665921859,29,0.09063823969729512,0.9141697090541729,0.9141697090541729,0.13556262013008172,0
ct_w4_i3,4,evaluation,problem_tree,256,512,101,independent_equal_full_fisher,1,12.0,0.0723577495772183,12,6144,0.6882104414924317,30,0.0723577495772183,0.937291702979059,0.937291702979059,0.07666027120716915,0
ct_w4_i3,4,evaluation,width3,64,128,0,independent_equal_full_fisher,1,15.0,0.08137924369713723,15,1920,0.3903578484485777,36,0.08137924369713723,0.9194262543001369,0.9194262543001369,0.11015575406602776,0
ct_w4_i3,4,evaluation,width3,64,128,19,independent_equal_full_fisher,1,25.0,0.06749175464043411,25,3200,0.3927181292403776,37,0.06749175464043411,0.9388197841579216,0.9388197841579216,0.2857247304502815,0
ct_w4_i3,4,evaluation,width3,64,128,42,independent_equal_full_fisher,1,19.0,0.049786375337255606,19,2432,0.5776692546230998,43,0.049786375337255606,0.9563708751124318,0.9563708751124318,0.1271868711135413,0
ct_w4_i3,4,evaluation,width3,64,128,50,independent_equal_full_fisher,1,16.0,0.08124726374110836,16,2048,0.44034952609491546,37,0.08124726374110836,0.9259593764077722,0.9259593764077722,0.3502672587895588,0
ct_w4_i3,4,evaluation,width3,64,128,101,independent_equal_full_fisher,1,14.0,0.045846690197578255,14,1792,0.3318565261140926,32,0.045846690197578255,0.9547158694474727,0.9547158694474727,0.07807253016493185,0
ct_w4_i3,4,evaluation,width3,256,512,0,independent_equal_full_fisher,1,13.0,0.05084532341228254,13,6656,0.7423556413980891,44,0.05084532341228254,0.9530905836776732,0.9530905836776732,0.05651309699445619,0
ct_w4_i3,4,evaluation,width3,256,512,19,independent_equal_full_fisher,1,13.0,0.04580312290685029,13,6656,0.844067458419486,45,0.04580312290685029,0.9547841349514918,0.9547841349514918,0.06481429551682688,0
ct_w4_i3,4,evaluation,width3,256,512,42,independent_equal_full_fisher,1,13.0,0.05960893552794211,13,6656,0.8541991176083835,45,0.05960893552794211,0.9483049061480605,0.9483049061480605,0.1902412334019762,0
ct_w4_i3,4,evaluation,width3,256,512,50,independent_equal_full_fisher,1,11.0,0.055214791117107254,11,5632,0.7741717281389225,44,0.055214791117107254,0.9495882455634994,0.9495882455634994,0.13550521958964906,0
ct_w4_i3,4,evaluation,width3,256,512,101,independent_equal_full_fisher,1,16.0,0.05023408889767467,16,8192,0.7171966705936423,45,0.05023408889767467,0.9504307148425485,0.9504307148425485,0.1768499033638652,0
ct_w4_i4,4,evaluation,problem_tree,256,512,0,independent_equal_full_fisher,1,8.0,0.09196944872867974,8,4096,0.4385647759161331,24,0.09196944872867974,0.9116991554606481,0.9116991554606481,0.058036097131228474,0
ct_w4_i4,4,evaluation,problem_tree,256,512,19,independent_equal_full_fisher,1,10.0,0.04416605765329429,10,5120,0.4576828371624825,26,0.04416605765329429,0.9562453124848143,0.9562453124848143,0.06753606301218802,0
ct_w4_i4,4,evaluation,problem_tree,256,512,42,independent_equal_full_fisher,1,7.0,0.05429462875084212,7,3584,0.5399354513304844,25,0.05429462875084212,0.9494536158438809,0.9494536158438809,0.06476296020724662,0
ct_w4_i4,4,evaluation,problem_tree,256,512,50,independent_equal_full_fisher,1,8.0,0.0499822479133627,8,4096,0.5119103078224748,27,0.0499822479133627,0.9528635871262943,0.9528635871262943,0.02896895850571546,0
ct_w4_i4,4,evaluation,problem_tree,256,512,101,independent_equal_full_fisher,1,7.0,0.0665460122992787,7,3584,0.41749576984681136,23,0.0665460122992787,0.9393019395626343,0.9393019395626343,0.05484370990547819,0
ct_w4_i4,4,evaluation,width3,64,128,0,independent_equal_full_fisher,1,26.0,0.0038607360364899534,26,3328,0.3678464788581385,42,0.0038607360364899534,0.9963930250564984,0.9963930250564984,0.016404328169350432,0
ct_w4_i4,4,evaluation,width3,64,128,19,independent_equal_full_fisher,1,15.0,0.08987207802705655,15,1920,0.254126657160951,37,0.08987207802705655,0.910935558432889,0.910935558432889,0.1258980139131173,0
ct_w4_i4,4,evaluation,width3,64,128,42,independent_equal_full_fisher,0,,2.000012835232269,199,25472,0.3653904209050471,43,2.000012835232269,1.2041020203626565e-28,0.9998131276179929,1.9776247342738127e-05,1
